route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed,bikes_allowed
862,954A1674,44601A954B1674,"","Newark",0,,0,0,0
862,954A1674,44600A954B1674,"","Newark",0,,1,0,0
862,954A1674,44599A954B1674,"","Newark",0,,1,0,0
862,954A1674,44602A954B1674,"","Newark",0,,1,0,0
862,745A1674,36120A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36121A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36122A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,45350A745B1674,"","Newark",0,,3,0,0
862,745A1674,36124A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36125A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36126A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36127A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36128A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36129A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36130A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36131A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36132A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36133A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36134A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36135A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36136A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36137A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36138A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36139A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36140A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36141A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36142A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36143A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36144A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36145A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36146A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36147A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36148A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36149A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36150A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36151A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36152A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36153A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36154A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36155A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36156A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36157A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36158A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36159A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36160A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36161A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36162A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36163A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36164A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36165A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36166A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36167A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36168A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36169A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36170A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36171A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36172A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36173A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36174A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36175A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36176A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36177A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36178A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36179A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36180A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36181A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36182A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36183A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36184A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36185A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36186A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36187A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36188A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36189A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36190A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36191A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36192A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36193A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36194A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36195A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36196A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36197A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36198A745B1674,"","Journal Square",1,,2,0,0
862,745A1674,36199A745B1674,"","Journal Square",1,,2,0,0
862,746A1674,36200A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36201A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36202A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36203A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36204A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36205A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36206A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36207A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36208A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36209A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36210A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36211A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36212A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36213A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36214A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36215A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36216A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36217A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36218A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36219A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36220A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36221A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36222A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36223A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36224A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36225A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36226A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36227A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36228A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36229A746B1674,"","Journal Square",1,,2,0,0
862,746A1674,36230A746B1674,"","Journal Square",1,,2,0,0
